Emblem_ID,Factory_CName,Factory_Address,Factory_Tel,Factory_Fax,Factory_Director,Material_Name,PType_Name,Product_Name
110601,金大畜牧場,彰化縣二林鎮西庄里西庄巷5之6號,04-8683930,04-8684836,黃啟誠,蛋品,生鮮蛋品,優品蛋
101816,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,醍醐大師窯香梅蛋(雞蛋)
013303,元進莊企業股份有限公司[屠宰廠],雲林縣元長鄉龍岩村2鄰龍岩20-105號,05-7888641,05-7886303,吳政憲,肉品,冷藏雞肉,冷藏雞肉
022463,奇美食品股份有限公司,高雄市湖內區公館里中山路2段51號,07-6993901,07-6993020,宋光夫,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍螞蟻上樹包
136112,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍龍虎斑魚(丁、片、塊)
028503,晶鈺食品股份有限公司一廠,台南市佳里區頂廍1-17號,06-7227720,06-7230820,陳定宇,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍芝麻包子(爆濃)
030812,佳美食品工業股份有限公司,台中市大里區大衛路56號,04-24063155,04-35061431,游子軒,果蔬汁,果蔬汁產品,OJUICE西瓜檸檬綜合果汁
110681,金大畜牧場,彰化縣二林鎮西庄里西庄巷5之6號,04-8683930,04-8684836,黃啟誠,蛋品,生鮮蛋品,五星鮮蛋
017819,嘉一香食品股份有限公司樹林廠,新北市樹林區俊安街43號,02-26894911,02-26895910,陳國訓,肉品,調理肉製品,黑胡椒梅花豬排
114681,勝大食品股份有限公司,高雄市阿蓮區復安里復安55-13號,07-6331220,07-6331345,,蛋品,生鮮蛋品,香草園 鮮雞蛋
017582,欣樂食品股份有限公司,屏東縣長治鄉繁昌村中山路152號,08-7629855,08-7629875,張華欣,肉品,冷凍豬肉,冷凍豬肉
161502,正昌製材有限公司,新竹縣橫山鄉橫山街一段152號,035933904,035933872,梁國興,林產加工品,木製材品,柳杉防腐製材品
013621,富統食品股份有限公司,屏東縣萬丹鄉泉順街439巷37號,08-7772747,08-7775440,黃美麗,肉品,中式香腸,富統秀珍小香腸
017039,嘉一香食品股份有限公司屏東廠,屏東縣崁頂鄉崁頂村中正路1-1號,08-8630863,08-8630862,陳國訓,肉品,西式火腿,活菌豬手工煙燻火腿
121004,保證責任雲林縣漢光果菜生產合作社,雲林縣西螺鎮新安里振安路98號,05-5876789,05-5867789,廖丁川,生鮮截切蔬果,生鮮截切葉菜類,方便煮葉菜類
022473,奇美食品股份有限公司,高雄市湖內區公館里中山路2段51號,07-6993901,07-6993020,宋光夫,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍高麗菜包
011609,台灣卜蜂企業股份有限公司,南投市南崗工業區工業東路17號,049-2255337,049-2255780,鄭武樾,肉品,調理肉製品,卜蜂燒烤雞翅
122701,豐富家實業有限公司,嘉義市西區青年街135號,05-2367920,05-2854638,趙任專,生鮮截切蔬果,生鮮截切葉菜類,生鮮截切葉菜類
090208,大安工研食品工廠股份有限公司,新北市淡水區行忠路168號,02-2622-2658,02-2621-3222,許嘉興,釀造食品,釀造食醋類,素食烏酢
136127,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍紅魽魚(丁、片、塊)
028905,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,水產冷凍食品,冷凍什錦蝦排
024702,碁富食品股份有限公司彰化廠,彰化縣大城鄉東城村南平路1-1號,04-8945825,04-8945830,麥大衛,冷凍食品,調理冷凍食品-冷凍裹麵食品類製品,紅龍冷凍全熟辣味棒腿
119102,勝翔蛋品科技有限公司,新北市樹林區三龍里三俊街65巷1、3、5號1樓,02-26885718,,,蛋品,冷藏液蛋,冷藏殺菌蛋黃
121701,保證責任彰化縣員林合作農場台中配銷處,台中市西屯區廣福路272巷2號,04-27070265,04-27070058,黃建銓,生鮮截切蔬果,生鮮截切葉菜類,生鮮截切葉菜類
019128,奕勝食品有限公司二廠,高雄市鳥松區美山路36巷1-18號,07-7351881,,,肉品,調理肉製品,十三香雞丁
012201,花蓮縣光豐地區農會肉品加工場,花蓮縣光復鄉西富村中正路2段6巷10號,03-8705602,03-8705603,張明發,肉品,冷藏豬肉,冷藏豬肉
026314,奇巧調理食品股份有限公司,彰化縣北斗鎮新工一路66號,04-8887785,04-8885558,陳在,冷凍食品,調理冷凍食品-冷凍麵食類製品,阿在伯冷凍手工餃子(韭菜)
042702,弘昌碾米工廠,台南市下營區賀建里下橋頭1之9號,06-6899139,06-6792230,曾江燁,食米,優良農產品良質米-白米,樂禾田(白米)
028916,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,水產冷凍食品,冷凍鬼頭刀魚條
150301,光泉牧場股份有限公司大園廠,桃園市大園區南港里大觀路1249號,03-3865185,03-3862475,汪林祥,乳品,鮮乳,光泉鮮乳-成分無調整
010718,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,肉乾,肉絲
102901,中一食品股份有限公司昭成蛋品加工廠,彰化縣大城鄉上山村魚寮路100號,04-7535711,04-8941077,韓芳豪,點心食品,加工調理蛋製品類,大成水煮蛋
135823,海冠有限公司,屏東縣東港鎮船頭里大同路296號,08-8335858,08-8310988,林韋宏,水產加工品,冷凍水產品,冷凍石喬丁(OEM)
011533,新東陽股份有限公司大園廠,桃園市大園區大工路11號,03-3866317,03-3866370,麥寬成,肉品,肉乾,蜜汁豬肉乾
016107,振聲農業科技股份有限公司,屏東縣鹽埔鄉新二村維新路168-8號,08-7933121,08-7933125,邱順天,肉品,禽肉火腿,煙燻鴨胸
161401,臺南市龍崎區農會,台南市龍崎區崎頂里7鄰223號,06-5941018,,林韋如,林產加工品,一般用途竹炭,龍崎竹炭片
011619,台灣卜蜂企業股份有限公司,南投市南崗工業區工業東路17號,049-2255337,049-2255780,鄭武樾,肉品,裏粉裏麵製品,原味香脆腿肉排
060607,金車股份有限公司平鎮廠,桃園市平鎮區中興路527號,03-4697845,03-4696189,李添財,即食餐食,速食製品,高頓粥濃郁豚骨風味
136123,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍魷魚圈
010734,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,黑橋牌香蒜香腸小丸子
110381,偉良畜牧場,嘉義縣義竹鄉平溪村48-3號,05-3427496,05-3426594,蘇俊宏,蛋品,生鮮蛋品,和樂鮮蛋
136001,高雄市林園區漁會,高雄市林園區鳳芸里漁港路2號,07-6432763,08,蘇居萬,水產加工品,冷凍水產品,冷凍鮮魷魚分切
102301,得意中華食品有限公司,高雄市岡山區本洲工業區本工一路25號,(07)6229100,(07)6227812,陳秀卿,點心食品,加工調理蛋製品類,頑皮原味小鐵蛋
101807,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,福記茶燻雲香蛋(雞蛋)
015201,香里食品企業股份有限公司,南投縣南投市南崗工業區仁和路3號,049-2259999,049-2263000,洪芳美,肉品,冷藏豬肉,冷藏豬肉
118205,上品王食品股份有限公司(蛋品),高雄市阿蓮區和平路206號,07-6317922,07-6317915,謝石潭,蛋品,冷凍液蛋,冷凍殺菌全蛋液
101826,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,牛奶QQ蛋
121006,保證責任雲林縣漢光果菜生產合作社,雲林縣西螺鎮新安里振安路98號,05-5876789,05-5867789,廖丁川,生鮮截切蔬果,生鮮截切花果類,方便煮花果類
101819,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,醍醐大師辣味香鐵蛋(鵪鶉蛋)
011001,雅勝冷凍食品股份有限公司,桃園市蘆竹區山腳里7鄰泉州路3號,03-3244466,03-3243779,林惠美,肉品,冷藏豬肉,冷藏豬肉
135828,海冠有限公司,屏東縣東港鎮船頭里大同路296號,08-8335858,08-8310988,林韋宏,水產加工品,冷凍水產品,冷凍牛港鰺魚片(OEM)
130401,祐全產業股份有限公司,屏東縣新園鄉五房村龍洲路50號,08-8690405,08-8690504,洪宜一,水產加工品,冷凍水產品,冷凍調理鰻
011615,台灣卜蜂企業股份有限公司,南投市南崗工業區工業東路17號,049-2255337,049-2255780,鄭武樾,肉品,裏粉裏麵製品,脆皮雞排(原味)
011328,冠泓食品股份有限公司,屏東市屏東工業區工業路14號1、2樓,08-7235168,,,肉品,肉品,醬香排骨
120503,保證責任嘉義縣嘉鹿果菜生產合作社,嘉義縣鹿草鄉光潭村197-11號,05-3651992,05-3652389,蘇桑逸,生鮮截切蔬果,冷凍蔬菜類,冷凍四色混合菜
017602,萬偉股份有限公司,屏東縣萬丹鄉社區村萬丹路3段331號,08-7551725,08-7518524,蘇瑞榮,肉品,冷凍豬肉,冷凍豬肉
010738,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,黑橋牌蒜味珍珠香腸
011622,台灣卜蜂企業股份有限公司,南投市南崗工業區工業東路17號,049-2255337,049-2255780,鄭武樾,肉品,調理肉製品,香檸三節翅
014602,芬芳烹材股份有限公司,新北市樹林區武林街9-6號,02-26851040,02-26851042,簡書聰,肉品,冷凍豬肉,冷凍豬肉
150401,光泉牧場股份有限公司嘉義廠,嘉義縣民雄鄉北斗村成功街1號,05-2219700,05-2215546,汪林祥,乳品,鮮乳,光泉鮮乳-成分無調整
136122,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍現撈小卷
135621,隆育企業有限公司,宜蘭縣冬山鄉大興村德興四路17號,(03)9904622,(03)9904623,林洪福,水產加工品,罐製水產品,紅燒小卷
028402,豐誠冷凍食品有限公司,屏東縣里港鄉載興村載南路23-7號,08-7755775,08-7755791,陳石定,冷凍食品,農產冷凍食品,冷凍青花菜
161801,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,柳杉規格品
101814,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,醍醐大師蒜香香鐵蛋(雞蛋)
111286,永順興牧場,台南市六甲區菁埔里337號,06-6982773,06-6898648,顏瑞坤,蛋品,生鮮蛋品,源牧鮮蛋
132202,匯永實業股份有限公司(水產品),高雄市前鎮區新衙路296巷1-1號,07-8618686,07-8610770,朱挺玗,水產加工品,乾製水產品,旗魚鬆
022458,奇美食品股份有限公司,高雄市湖內區公館里中山路2段51號,07-6993901,07-6993020,宋光夫,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍極品松露豚燒賣
011101,大得利家畜肉食品加工廠有限公司,新北市新莊區環漢路三段525號,02-22066856   ,02-82010619   ,林明輝,肉品,冷藏豬肉,冷藏豬肉
010721,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,黑橋牌辣味香腸
135707,福國冷凍股份有限公司,宜蘭縣五結鄉利工一路二段56號,03-9908319,03-9908721,,水產加工品,冷凍水產品,冷凍肉魚
160601,武岫休閒農場,南投縣鹿谷鄉竹林村田頭巷35之66號,049-2676262,049-2677117,林建勳,林產加工品,一般用途竹炭,元寶盒
160501,永霆國際竹炭實業有限公司,苗栗縣公館鄉北河村20號,03-4504695,03-4500765,黎鳳妹,林產加工品,一般用途竹炭,護手帶
136167,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍紅魽魚(丁、片、塊)
111681,臺南蛋品股份有限公司,臺南市關廟區埤頭里關新路2段387號,06-5959059,06-5959146,顏瑞進,蛋品,生鮮蛋品,順興蛋
011082,雅勝冷凍食品股份有限公司,桃園市蘆竹區山腳里7鄰泉州路3號,03-3244466,03-3243779,林惠美,肉品,冷凍豬肉,冷凍豬肉
110101,石安牧場,高雄市阿蓮區石安里2鄰頂安街310巷60號,07-6312776,07-6314576,鄭豫,蛋品,生鮮蛋品,領鮮蛋
013283,金豐盛食品股份有限公司,台南市鹽水區三明里舊營1-28號,06-6535818,06-6535820,,肉品,冷藏雞肉,冷藏雞肉
101806,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,軟香鐵蛋(鵪鶉蛋)
101824,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,醍醐大師藥膳神蛋(鵪鶉蛋)
017027,嘉一香食品股份有限公司屏東廠,屏東縣崁頂鄉崁頂村中正路1-1號,08-8630863,08-8630862,陳國訓,肉品,肉酥,海苔肉酥
015602,信功實業股份有限公司,屏東縣長治鄉繁昌村中山路122號,08-7624567,08-7620075,楊博仁,肉品,冷凍豬肉,冷凍豬肉
061303,統皓食品股份有限公司,新北市五股區五權路49號,02-22900079,02-22984514,鄭得興,即食餐食,18℃恆溫製品,雞肉飯三角飯糰
028917,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,水產冷凍食品,冷凍裹粉烏魚堡
090244,大安工研食品工廠股份有限公司,新北市淡水區行忠路168號,02-2622-2658,02-2621-3222,許嘉興,釀造食品,釀造食醋類,珍珠美人酢
010737,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,養生紅麴紹興香腸
026511,嘉楠食品工業股份有限公司,雲林縣元長鄉元長工業區興工街3號,05-7862888,05-7862999,陳建志,冷凍食品,畜產冷凍食品,冷凍黑胡椒豬柳
026319,奇巧調理食品股份有限公司,彰化縣北斗鎮新工一路66號,04-8887785,04-8885558,陳在,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍高麗菜豬肉手工餃子
090303,穀盛股份有限公司,嘉義縣民雄工業區中正路36號,05-2204911,05-2218929,許嘉寧,釀造食品,釀造食醋類,素食烏酢
028403,豐誠冷凍食品有限公司,屏東縣里港鄉載興村載南路23-7號,08-7755775,08-7755791,陳石定,冷凍食品,農產冷凍食品,冷凍花椰菜
101805,福記冷凍食品股份有限公司(點心食品),高雄市路竹區中山路268號,07-6962329,07-6962046,林鳳春,點心食品,點心食品,日式滷蛋
014204,瑞峰食品有限公司,高雄市鳥松區美山路36巷1-33號,07-7329958,,,肉品,冷凍雞肉,冷凍雞肉
014004,欣光食品股份有限公司(南園二廠)(肉品),桃園市中壢區南園路2-16號,03-4527272,03-4624967,韓家宇,肉品,冷凍雞肉,冷凍雞肉
020830,禎祥食品工業股份有限公司(冷凍食品),嘉義縣朴子市竹村里鴨母寮1-3號,05-3692211,05-3692692,張晁禎,冷凍食品,農產冷凍食品,冷凍芋香毛豆仁
132219,匯永實業股份有限公司(水產品),高雄市前鎮區新衙路296巷1-1號,07-8618686,07-8610770,朱挺玗,水產加工品,冷凍水產品,冷凍鮭鯊魚丁
016684,保證責任台灣省北台肉雞運銷合作社,桃園市大園區三石里五鄰45-51號,03-3835116,03-3835112,黃興任,肉品,冷凍雞肉,冷凍雞肉
016504,友宏有限公司,高雄市阿蓮區港後村崙頂1-10號,07-6317135,07-6320636,吳珮瑜,肉品,冷凍雞肉,冷凍雞肉
134401,味一食品有限公司屏南廠(水產品),屏東縣枋寮鄉東海村精進路35號,08-8662733,08-8666337,謝清銀,水產加工品,乾製水產品,味一旗魚鬆
028915,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,水產冷凍食品,冷凍什錦蝦排
012484,大成長城企業股份有限公司柳營肉品二廠,台南市柳營區士林里長榮路六段513號,06-6224201,06-6223800,,肉品,冷凍雞肉,冷凍雞肉
136106,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍水鯊魚(丁、片、塊)
017024,嘉一香食品股份有限公司屏東廠,屏東縣崁頂鄉崁頂村中正路1-1號,08-8630863,08-8630862,陳國訓,肉品,含肉顆粒乳化型西式香腸,法蘭克福香腸
090509,大醇食品股份有限公司,新北市淡水區埤島里行忠路328號,02-26222131,02-26222133,許立建,釀造食品,味噌類,工研半粗細味噌
124506,富士鮮品股份有限公司-二廠,雲林縣斗南鎮小東里大同路563巷37號,05-5970661,,鄭嘉仁,生鮮截切蔬果,冷凍蔬菜類,冷凍地瓜(丁/條)
010540,台灣農畜產工業股份有限公司,屏東縣屏東市建國路480號,08-7520525,08-7556980,張華欣,肉品,肉酥,台畜海苔肉酥
122201,中原食品工業開發股份有限公司,新北市三峽區正義街18號,02-26723868,02-26723308,董晃銘,生鮮截切蔬果,生鮮截切葉菜類,生鮮截切葉菜類
016113,振聲農業科技股份有限公司,屏東縣鹽埔鄉新二村維新路168-8號,08-7933121,08-7933125,邱順天,肉品,禽肉火腿,煙燻黑胡椒鴨平
090201,大安工研食品工廠股份有限公司,新北市淡水區行忠路168號,02-2622-2658,02-2621-3222,許嘉興,釀造食品,釀造食醋類,工研酢
010744,黑橋牌企業股份有限公司,台南市安平工業區中華西路一段103號,06-2614186,06-2630178,陳春利,肉品,中式香腸,蒜味熟香腸
135806,海冠有限公司,屏東縣東港鎮船頭里大同路296號,08-8335858,08-8310988,林韋宏,水產加工品,冷凍水產品,冷凍石喬排
161802,昆儀實業股份有限公司,宜蘭縣蘇澳鎮自強路6號,03-9903188,03-9905088,郭宗欽,林產加工品,木製材品,防腐柳杉規格品
016584,友宏有限公司,高雄市阿蓮區港後村崙頂1-10號,07-6317135,07-6320636,吳珮瑜,肉品,冷凍雞肉,冷凍雞肉
023150,台灣欣榮食品股份有限公司,高雄市旗山區旗南一路磚廠巷16號,07-6625848 ,07-6625846,陳文安,冷凍食品,調理冷凍食品-冷凍麵食類製品,台糖冷凍豬肉玉米蔬菜手工水餃
028908,樂鮮企業有限公司,台南市仁德區文華路三段428巷92號,06-2702925,06-2701902,黃明珠,冷凍食品,水產冷凍食品,冷凍蒸香瓜仔豬排
101401,宜蘭食品工業股份有限公司第一廠,宜蘭縣蘇澳鎮新城路13號,03-9905111,03-9905545,李玉生,點心食品,米果製品類,無聊派系列仙貝酥(米果)
101103,宜蘭食品工業股份有限公司廣興廠,宜蘭縣冬山鄉廣興村廣興路680巷190號,03-9514457分機51,03-9514459,李玉生,點心食品,米果製品類,雪之月香辣
016604,保證責任台灣省北台肉雞運銷合作社,桃園市大園區三石里五鄰45-51號,03-3835116,03-3835112,黃興任,肉品,冷凍雞肉,冷凍雞肉
118602,永成蛋品股份有限公司林口廠,新北市林口區工四路12號,02-26033201,02-26032338,謝孟璋,蛋品,冷藏液蛋,鮮多力殺菌蛋黃液
133813,高雄市梓官區漁會,高雄市梓官區信柯村漁港二路32號,07-6176110,07-6176132,蕭清山,水產加工品,冷凍水產品,冷凍水鯊魚片
155001,辰頴股份有限公司,台南市新營區五福路134號,06-6534701,06-6522224,林宗盟,乳品,鮮羊乳,高屏鮮羊乳
011524,新東陽股份有限公司大園廠,桃園市大園區大工路11號,03-3866317,03-3866370,麥寬成,肉品,中式香腸,台灣黑豬肉高粱酒香腸
024603,強匠冷凍食品股份有限公司,屏東縣內埔鄉建國路16號,08-7780380,08-7780467,石造華,冷凍食品,調理冷凍食品-冷凍裹麵食品類製品,冷凍香酥雞排
063301,太子油飯股份有限公司,台北市士林區前港街23號,02-25571617#352,02-25570339,鄭怡銓,即食餐食,團體膳食製品,彌月油飯
064002,晉欣食品股份有限公司(即食餐食),高雄市岡山區嘉新東路1-1號,07-6228123,07-6227575,黃君毅,即食餐食,18℃恆溫製品,大口咖哩豬排飯糰
133202,嘉義區漁會新塭冷凍食品加工廠,嘉義縣布袋鎮復興里3鄰新塭526號之1,05-3430286,05-3430288,戴澤文,水產加工品,冷凍水產品,冷凍刀角魚土魠魚片
121502,保證責任彰化縣永靖合作農場,彰化縣永靖鄉瑚璉村東興路210號,04-8231806,04-8223961,莊芳雄,生鮮截切蔬果,生鮮截切根莖類,生鮮截切根莖類-馬鈴薯
017011,嘉一香食品股份有限公司屏東廠,屏東縣崁頂鄉崁頂村中正路1-1號,08-8630863,08-8630862,陳國訓,肉品,中式乳化型製品,干貝貢丸
136101,興得國際有限公司,高雄市茄萣區民有路51號,07-6986565,07-6986000,,水產加工品,冷凍水產品,冷凍白蝦仁
023102,台灣欣榮食品股份有限公司,高雄市旗山區旗南一路磚廠巷16號,07-6625848 ,07-6625846,陳文安,冷凍食品,調理冷凍食品-冷凍麵食類製品,冷凍韭菜水餃
011911,臺灣菸酒股份有限公司宜蘭酒廠,宜蘭縣宜蘭市大道里舊城西路3號,03-9355526,03-9354542,王正利,肉品,中式香腸,紹興紅麴香腸
020601,逢甲燒烤冷凍食品,彰化縣員林市員草路961號1樓,04-8385111,,張耿祥,冷凍食品,調理冷凍食品-冷凍燒烤（煙燻）類製品,冷凍美式鄉村烤雞翅(W6)
090510,大醇食品股份有限公司,新北市淡水區埤島里行忠路328號,02-26222131,02-26222133,許立建,釀造食品,味噌類,工研顆粒味噌
